name,lat,lon,alt_km
NORAD-2834,-57.5567,-96.8751,916.7
NORAD-2847,-64.2478,-9.2007,899.0
NORAD-2861,-42.9855,100.7430,3943.7
NORAD-2862,1.8481,-158.4024,33352.4
NORAD-2863,-2.5922,-2.4575,33143.9
NORAD-2864,-2.0236,16.0383,33267.6
NORAD-2865,0.6251,74.1658,33534.3
NORAD-2866,0.8536,80.3933,33604.5
NORAD-2867,-1.6773,-75.8524,33282.2
NORAD-2868,-1.8855,11.9620,33753.5
NORAD-2872,-50.4179,121.7686,911.4
NORAD-2873,12.9584,140.0763,902.8
NORAD-2874,10.1516,-153.4316,907.8
NORAD-2876,-43.2678,-80.0930,3928.1
NORAD-2877,34.1243,100.2311,3856.4
NORAD-2886,1.9697,40.0889,909.5
NORAD-2888,57.8782,14.5675,2311.0
NORAD-2889,-89.4718,4.6289,1334.6
NORAD-2920,-77.6115,144.5273,832.1
NORAD-2934,23.9597,84.5352,1502.7
NORAD-2940,71.5345,-42.0936,822.2
NORAD-2949,-84.2221,-168.3116,5345.1
NORAD-2965,89.2088,45.8374,1066.7
NORAD-2967,-25.5924,154.3476,1111.4
NORAD-2969,-3.9383,-68.1272,35785.5
NORAD-2971,-27.7963,50.4469,15420.0
NORAD-2976,-41.0783,127.0245,1413.0
NORAD-2977,-52.8451,-73.2362,1404.9
NORAD-2980,9.6935,59.0981,735.5
NORAD-2985,51.1408,-174.2627,634.9
NORAD-2986,40.0987,159.9180,885.1
NORAD-2989,56.9246,-109.4515,929.9
NORAD-2994,74.7429,128.3123,843.3
NORAD-2997,10.9955,129.2751,4470.9
NORAD-3029,-1.6442,-105.2086,35860.2
NORAD-3035,48.5497,-109.7569,1415.2
NORAD-3036,-36.7870,-90.4578,1485.0
NORAD-3038,38.6927,-0.5179,677.7
NORAD-3045,36.2373,-68.4679,1377.8
NORAD-3047,-49.2383,-82.9876,719.8
NORAD-3048,39.8588,-64.1633,689.8
NORAD-3051,72.0908,-11.3991,1355.1
NORAD-3081,62.5038,-111.7272,907.8
NORAD-3093,67.2789,-76.9162,1136.0
NORAD-3094,41.5838,-28.3209,1471.5
NORAD-3122,8.4232,-127.4598,1034.0
NORAD-3123,-57.5856,94.4242,1466.1
NORAD-3124,21.9376,4.1179,1050.8
NORAD-3125,-1.1131,-10.5038,1365.1
NORAD-3126,-18.4635,-66.7158,1278.5
NORAD-3127,51.4408,-64.0327,1536.3
NORAD-3129,-24.6998,-148.2747,1196.4
NORAD-3131,-20.3250,-130.8828,1201.0
NORAD-3133,-67.5468,60.7725,1036.1
NORAD-3137,-65.9745,60.1627,1110.6
NORAD-3158,-62.3951,36.7784,887.4
NORAD-3164,66.0719,100.3779,868.2
NORAD-3166,-69.5436,119.6632,1089.9
NORAD-3173,54.1554,-5.1116,7415.3
NORAD-3174,15.5224,156.5168,5638.4
NORAD-3177,27.7410,169.9095,4752.3
NORAD-3212,75.2381,-111.3796,3955.0
NORAD-3213,24.4517,80.5934,950.3
NORAD-3214,-69.5208,-109.7423,1091.4
NORAD-3229,36.4436,-92.0117,640.0
NORAD-3230,43.7687,-168.2590,553.6
NORAD-3255,-31.1217,-44.7532,3537.9
NORAD-3257,-53.3992,-63.9112,3696.1
NORAD-3266,44.8354,-19.7617,879.4
NORAD-3267,-70.7068,-130.6648,3368.2
NORAD-3271,53.6918,-39.4550,819.5
NORAD-3284,3.2183,44.2138,33824.7
NORAD-3285,-5.3205,-115.2602,33785.6
NORAD-3286,-3.7085,-131.2213,33780.3
NORAD-3287,-6.6979,-93.9784,33865.1
NORAD-3288,6.0991,141.0505,33755.9
NORAD-3289,-4.7922,-22.2327,34118.4
NORAD-3290,4.1412,164.5945,33754.9
NORAD-3291,0.3962,-161.9982,33837.4
NORAD-3292,-6.0451,-109.1980,34876.3
NORAD-3307,-58.3709,-142.0098,5835.2
NORAD-3315,59.0382,128.4132,5583.2
NORAD-3334,-5.8513,161.4312,33045.1
NORAD-3338,-66.6232,-122.4897,694.2
NORAD-3341,-17.2684,-176.8788,874.6
NORAD-3345,-14.4711,127.6291,1478.7
NORAD-3346,45.5462,-44.5640,1467.8
NORAD-3373,-30.9321,-123.8398,656.3
NORAD-3386,32.3318,82.3400,568.5
NORAD-3392,-57.4622,148.0522,1082.0
NORAD-3416,16.0476,-69.9445,1393.7
